occupantID,0,0.05,0.07,0.08,0.2,0.3,0.4,1,2,2.1,3,3.1,3.2,3.3,3.4,4,4.1,5,6,7,8,9,10,11,12,13,14,14.1,14.2,14.3,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,project_id,city,state,season,building_id,work_group_id,work_group_nm,Space_id,View,C_O,P_I_C,build_name
1588,,,,,,,,5,5,,3,,,,,4,,2,2,2,2,2,5,2,5,2,5,,,,4,6,4,5,4,2,0,5,2,3,4,6,6,6,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OP_03,1,O,P,NPS
1589,,,,,,,,2,4,,3,,,,,7,,3,5,2,4,2,2,1,1,1,5,,,,1,7,7,6,4,4,0,3,2,2,5,7,7,3,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OP_04,1,O,P,NPS
1590,,,,,,,,7,7,,7,,,,,7,,1,1,2,6,2,5,5,5,1,7,,,,2,7,5,5,2,3,0,5,2,2,4,6,6,7,7,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OP_05,1,O,P,NPS
1591,,,,,,,,7,6,,6,,,,,5,,3,3,4,6,3,6,3,6,3,6,,,,4,5,4,6,5,5,0,4,1,3,4,7,7,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_01,1,O,I,NPS
1592,,,,,,,,,5,,5,,,,,5,,1,1,1,3,1,5,1,5,1,5,,,,1,5,3,2,1,1,0,3,2,3,4,6,6,2,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_02,1,O,I,NPS
1593,,,,,,,,6,6,,1,,,,,6,,1,3,2,3,2,6,2,4,1,4,,,,1,7,3,6,3,2,0,4,1,3,4,7,7,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_03,1,O,I,NPS
1594,,,,,,,,2,4,,4,,,,,2,,1,2,2,2,3,2,1,3,1,2,,,,2,1,1,2,2,3,0,4,1,3,5,7,7,3,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_04,1,O,I,NPS
1595,,,,,,,,5,4,,4,,,,,5,,1,1,1,5,1,5,2,5,1,4,,,,3,3,3,5,3,1,0,3,2,2,4,4,3,4,4,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_05,1,O,I,NPS
1596,,,,,,,,2,4,,2,,,,,2,,1,1,1,1,1,4,1,4,1,2,,,,4,4,4,4,1,4,0,2,2,3,5,5,6,2,1,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_06,1,O,I,NPS
1597,,,,,,,,2,7,,5,,,,,7,,1,5,2,5,2,2,1,6,3,5,,,,4,7,3,3,2,3,0,2,2,3,4,1,1,3,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_07,1,O,I,NPS
1598,,,,,,,,4,4,,4,,,,,5,,2,2,2,4,2,4,5,5,6,4,,,,2,4,4,4,5,4,0,4,2,2,2,4,4,4,4,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_08,1,O,I,NPS
1599,,,,,,,,6,6,,6,,,,,6,,5,6,2,6,2,6,6,6,6,6,,,,6,6,6,6,5,5,0,4,1,1,1,6,6,6,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_09,1,O,I,NPS
1600,,,,,,,,7,5,,2,,,,,4,,1,1,1,6,2,6,3,4,2,2,,,,2,2,2,6,3,3,0,4,1,2,3,6,6,3,3,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_10,1,O,I,NPS
1601,,,,,,,,6,7,,4,,,,,5,,2,2,4,7,4,6,4,5,5,6,,,,4,7,6,6,6,6,0,3,1,3,4,6,5,4,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_OI_12,1,O,I,NPS
1602,,,,,,,,6,6,,6,,,,,6,,6,6,5,4,5,6,6,6,6,6,,,,4,6,6,6,6,6,0,5,2,4,3,6,6,6,6,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_CC_01,2,C,C,NPS
1603,,,,,,,,5,2,,6,,,,,6,,7,4,7,7,7,7,7,7,7,2,,,,4,6,7,7,5,7,0,4,2,3,4,7,7,7,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_CC_02,2,C,C,NPS
1604,,,,,,,,5,5,,5,,,,,6,,6,6,3,6,5,5,5,4,6,4,,,,4,2,5,4,4,5,0,4,2,3,5,6,5,5,5,0,200510_NPS_OMH,Omaha,NB,S,0510_NPS_01,0510_NPS_01_03,National Park Service_3rd floor,0510_NPS_01_03_CC_03,2,C,C,NPS
1784,,,,,,,,4,3,,2,,,,,1,,1,5,1,1,1,4,1,1,1,4,,,,1,5,3,4,1,1,0,,1,3,4,2,3,2,2,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_A,,,,FSS_C
1785,,,,,,,,5,4,,3,,,,,6,,6,6,6,7,6,6,5,5,5,3,,,,5,7,7,5,6,7,0,2,1,4,5,2,3,3,3,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_CP_04,,C,P,FSS_C
1786,,,,,,,,6,5,,2,,,,,2,,6,7,3,7,5,3,3,4,6,3,,,,2,7,1,3,4,4,0,4,2,4,5,7,7,2,4,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_CP_05,,C,P,FSS_C
1787,,,,,,,,7,6,,6,,,,,3,,6,7,6,4,6,6,6,6,6,6,,,,3,7,6,7,2,6,0,4,2,4,4,6,6,6,6,0,200505_FSS_CHI,Chicago,IL,C,0505_FSS_01,0505_FSS_01_01,FSS_36th floor,0505_FSS_01_01_CP_07,,C,P,FSS_C
